title;exercise_type;frequency_days_per_week;frequency_nonconsecutive_days;intensity_beginning;intensity_end;intensity_unit;time_beginning;time_end;repetitions;sets;activity_type;references;age_min;age_max;bmi_min;bmi_max;gender;condition
Exercise prescription for: Healthy adults under 65 (resistance);resistance;2-3;True;30-70%;;1-Repetition Maximum;;;8-12;1-3;Machines, free weight or body weight exercises;58-fitt;18.0;64.0;;;;
Exercise prescription for: Healthy adults under 65 (aerobic);aerobic;3-7;False;10-18;;Rate of perceived exertion (6-20 scale);75-150;75-150;;;Running, cycling, swimming etc.;58-fitt;18.0;64.0;;;;
Exercise prescription for: Healthy elderly adults (resistance);resistance;2-3;True;30-69%;;1-Repetition Maximum;;;> 13;2-3;Machines, free weight or body weight exercises;1-fitt,2-fitt,3-fitt;65.0;;;;;
Exercise prescription for: Healthy elderly adults (aerobic);aerobic;3-5;False;14-17;;Rate of perceived exertion (6-20 scale);;;;;Running, cycling, swimming etc.;1-fitt,2-fitt,3-fitt;65.0;;;;;
Exercise prescription for: Pregnancy (resistance);resistance;2-3;True;;;1-Repetition Maximum;;;12-15;2-3;Machines, free weights, body weight;4-fitt,5-fitt,6-fitt;;;;;female;pregnancy
Exercise prescription for: Pregnancy (aerobic);aerobic;3-5;False;3-6;;Metabolic equivalent;30;;;;Hiking, swimming, group exercise;4-fitt,5-fitt,6-fitt;;;;;female;pregnancy
Exercise prescription for: Patients with cardiovascular disease (resistance);resistance;2-3;True;40 -60%;;1-Repetition Maximum;;;8-10;1-3;Machines;7-fitt,8-fitt;;;;;;cardiovascular disease
Exercise prescription for: Patients with cardiovascular disease (aerobic);aerobic;3-7;False;HR_Rest + 30 /min;;Resting heart rate;20-60;;;;Arm ergometer, upper and lower extremity ergometer, stepper, rower, elliptical, stair climber, treadmill;7-fitt,8-fitt;;;;;;cardiovascular disease
Exercise prescription for: Patients with heart failure (resistance);resistance;1-2;True;40-50%;70%;1-Repetition Maximum;;;10-15;2;Machines;9-fitt,10-fitt;;;;;;heart failure
Exercise prescription for: Patients with heart failure (aerobic);aerobic;3-5;False;11-14;;Rate of perceived exertion (6-20 scale);30;60;;;Treadmill, free-walking, stationary cycling;9-fitt,10-fitt;;;;;;heart failure
Exercise prescription for: Patients with cardiac transplant (resistance);resistance;1-2;True;40%;70%;1-Repetition Maximum;;;10-15;1-2;Machines, free weights, body weight, elastic bands;11-fitt;;;;;;cardiac transplant
Exercise prescription for: Patients with cardiac transplant (aerobic);aerobic;3-5;False;11-14;;Rate of perceived exertion (6-20 scale);15-20;30-60;;;Treadmill, free-walking, stationary cycling;11-fitt;;;;;;cardiac transplant
Exercise prescription for: Patients with artery disease (resistance);resistance;2-7;True;60-80%;;1-Repetition Maximum;;;8-12;2-3;Whole body training;12-fitt,13-fitt;;;;;;peripheral artery disease
