,subject_category,subject,relation,object,object_category,gender,strength,literature_source
73,biomarker,homocysteine,negatively correlate,folic acid,intervention,none,8.0,"26029085-pmc,31635932-pmc,23165234-pmc,27445457-pmc,28563434-pmc,30172102-pmc,33392118-pmc,34228573-pmc"
74,biomarker,homocysteine,negatively correlate,folic acid,intervention,none,4.0,"26787903-pmc,21379416-pmc,25671777-pmc,34175472-pmc"
813,intervention,b-vitamins,decrease,homocysteine,biomarker,none,4.0,"20194058-pmc,20499873-pmc,27331681-pmc,30677758-pmc"
885,intervention,bifidobacterium,decrease,irritable bowel syndrome,risk,none,4.0,"18666904-pmc,29915355-pmc,33818818-pmc,34100884-pmc"
1021,intervention,calcium supplements,decrease,bone disease,risk,none,7.0,"23052683-pmc,30364546-pmc,30509936-pmc,30509936-pmc,18876772-pmc,20809108-pmc,25055307-pmc"
1025,intervention,calcium supplements,decrease,bone disease,risk,female,6.0,"31227504-pmc,31606980-pmc,19696838-pmc,19696838-pmc,21920150-pmc,25648996-pmc"
1110,intervention,calcium supplements,increase,blood level calcium,biomarker,none,12.0,"24175283-pmc,21630781-pmc,22882685-pmc,24214314-pmc,29270037-pmc,30412930-pmc,31964198-pmc,32336756-pmc,32529500-pmc,33263932-pmc,33592899-pmc,34735925-pmc"
1122,intervention,calcium supplements,increase,bone mineral density,biomarker,none,6.0,"34210622-pmc,34210622-pmc,34210622-pmc,27158984-pmc,27158984-pmc,34210622-pmc"
1123,intervention,calcium supplements,increase,bone mineral density,biomarker,female,4.0,"22674818-pmc,33539928-pmc,33539928-pmc,31227504-pmc"
1154,intervention,calcium supplements,increase,serum calcium,biomarker,none,5.0,"24371176-pmc,26277423-pmc,29270037-pmc,26018942-pmc,32529500-pmc"
1345,intervention,coenzyme q10,decrease,c-reactive protein,biomarker,none,6.0,"25827351-pmc,25827351-pmc,26767276-pmc,32705325-pmc,25191661-pmc,25827351-pmc"
1380,intervention,coenzyme q10,decrease,interleukin-6,biomarker,none,4.0,"25827351-pmc,32705325-pmc,23217215-pmc,25827351-pmc"
1383,intervention,coenzyme q10,decrease,ldl cholesterol,biomarker,none,6.0,"28852393-pmc,25776990-pmc,26801757-pmc,31268213-pmc,31500322-pmc,33576423-pmc"
1393,intervention,coenzyme q10,decrease,malondialdehyde,biomarker,none,4.0,"30757470-pmc,32000209-pmc,32000209-pmc,21702580-pmc"
1394,intervention,coenzyme q10,decrease,malondialdehyde,biomarker,none,4.0,"26396173-pmc,26396173-pmc,26587927-pmc,32673767-pmc"
1433,intervention,coenzyme q10,decrease,tnf-α,biomarker,none,4.0,"26767276-pmc,32705325-pmc,23217215-pmc,25827351-pmc"
1438,intervention,coenzyme q10,decrease,total cholesterol,biomarker,none,4.0,"28852393-pmc,30757470-pmc,30757470-pmc,31500322-pmc"
1548,intervention,coenzyme q10,improve,cardiovascular disease,risk,none,4.0,"26767276-pmc,28852393-pmc,30757470-pmc,32000209-pmc"
1588,intervention,coenzyme q10,improve,mitochondrial function,biomarker,none,4.0,"32705325-pmc,21702580-pmc,26801757-pmc,29408632-pmc"
1675,intervention,coenzyme q10,increase,plasma coenzyme q10 concentrations,biomarker,none,4.0,"23113508-pmc,29408632-pmc,29408632-pmc,33664648-pmc"
1679,intervention,coenzyme q10,increase,plasma coq10,biomarker,none,4.0,"23939992-pmc,33664648-pmc,34444244-pmc,34499958-pmc"
1790,intervention,collagen peptides,increase,lean mass,biomarker,male,4.0,"25152477-pmc,29639804-pmc,29639804-pmc,29639804-pmc"
1898,intervention,curcumin,decrease,c-reactive protein,biomarker,none,5.0,"34292930-pmc,34326338-pmc,23851020-pmc,33539896-pmc,34319201-pmc"
1946,intervention,curcumin,decrease,homa-ir,biomarker,none,7.0,"34252377-pmc,34252377-pmc,34252377-pmc,34448137-pmc,34448137-pmc,34448137-pmc,34319201-pmc"
