name;min_value;max_value;unit;frequency;geroprotective_mechanism;cycle;references;name_in_kg
5-Hydroxytryptophan;100.0;300.0;mg;Once per day;Serotonin precursor, mood regulation;Continuous;1-dosages;5-hydroxytryptophan
Gamma-Aminobutyric Acid;500.0;1000.0;mg;Once per day;Neurotransmitter, reduces stress and anxiety;Continuous;1-dosages;gamma-aminobutyric acid
L-ergothioneine;5.0;10.0;mg;Once per day;Antioxidant, protects against oxidative stress;Continuous;1-dosages;l-ergothioneine
Nicotinamide Mononucleotide;250.0;500.0;mg;Once per day;NAD+ precursor, enhance cellular energy metabolism;Continuous;1-dosages;nicotinamide mononucleotide
Nicotinamide Riboside;300.0;500.0;mg;Once per day;NAD+ precursor, enhance cellular energy metabolism;Continuous;1-dosages;nicotinamide riboside
N-acetylglucosamine;500.0;500.0;mg;Once per day;Anti-inflammatory, supports joint health;Continuous;1-dosages;n-acetylglucosamine
Pyrroloquinoline Quinone;10.0;20.0;mg;Once per day;Mitochondrial biogenesis, antioxidant;Continuous;1-dosages;pyrroloquinoline quinone
Coenzyme Q10;100.0;200.0;mg;Once per day;Antioxidant, supports mitochondrial function;Continuous;1-dosages;coenzyme q10
Tauroursodeoxycholic Acid;250.0;500.0;mg;Once per day;Liver protection, supports cellular homeostasis;Cyclic (2-3 months on/off);1-dosages;tauroursodeoxycholic acid
Alanin;2.0;5.0;g;Once per day;Amino acid, supports muscle metabolism;Continuous;1-dosages;alanin
Alpha-ketoglutarate;1.0;3.0;g;Once per day;Krebs cycle intermediate, supports energy metabolism;Continuous;1-dosages;alpha-ketoglutarate
Alpha lipoic acid;300.0;600.0;mg;Once per day;Antioxidant, supports mitochondrial function;Continuous;1-dosages;alpha lipoic acid
Arginine;3.0;6.0;g;Once per day;Nitric oxide precursor, improves blood flow;Continuous;1-dosages;arginine
Astaxanthin;4.0;12.0;mg;Once per day;Potent antioxidant, anti-inflammatory;Continuous;1-dosages;astaxanthin
Berberine;500.0;500.0;mg;2-3x daily;AMPK activator, supports metabolic health;Cyclic (2-3 months on/off);1-dosages;berberine
Beta-hydroxybutyrate;10.0;12.0;g;Once per day;Ketone body, supports energy metabolism;Continuous;1-dosages;beta-hydroxybutyrate
Vitamin D supplements;2000.0;4000.0;IU;Once per day;Supports bone health, immune function;Continuous;1-dosages;vitamin d supplements
Hydroxytyrosol;5.0;20.0;mg;Once per day;Antioxidant, anti-inflammatory;Continuous;1-dosages;hydroxytyrosol
Ginestein;50.0;100.0;mg;Once per day;Phytoestrogen, supports cardiovascular health;Continuous;1-dosages;ginestein
Glycine;3.0;5.0;g;Once per day;Amino acid, supports collagen synthesis;Continuous;1-dosages;glycine
Glucosamine;1500.0;1500.0;mg;Once per day;Supports joint health;Continuous;1-dosages;glucosamine
Isoquercetin;250.0;500.0;mg;Once per day;Antioxidant, anti-inflammatory;Continuous;1-dosages;isoquercetin
Carnosine;500.0;1000.0;mg;Once per day;Antioxidant, anti-glycation;Continuous;1-dosages;carnosine
Epigallocatechin gallate;200.0;500.0;mg;Once per day;Antioxidant, supports cardiovascular health;Continuous;1-dosages;epigallocatechin gallate
Quercetin;500.0;1000.0;mg;Once per day;Antioxidant, anti-inflammatory;Cyclic (2-3 months on/off);1-dosages;quercetin
Caffeic acid;200.0;400.0;mg;Once per day;Antioxidant, anti-inflammatory;Continuous;1-dosages;caffeic acid
Curcumin;500.0;2000.0;mg;Once per day;Anti-inflammatory, antioxidant;Continuous;1-dosages;curcumin
Lecithin;1.0;2.0;g;Once per day;Supports brain health, emulsifier;Continuous;1-dosages;lecithin
Lysine;1.0;3.0;g;Once per day;Amino acid, supports collagen synthesis;Continuous;1-dosages;lysine
Lycopene;10.0;20.0;mg;Once per day;Antioxidant, supports cardiovascular health;Continuous;1-dosages;lycopene
Lithium;1.0;5.0;mg;Once per day;Neuroprotective at low doses;Continuous (low- dose);1-dosages;lithium
Lutein;10.0;10.0;mg;Once per day;Supports eye health;Continuous;1-dosages;lutein
Zeaxanthin;2.0;2.0;mg;Once per day;Supports eye health;Continuous;1-dosages;zeaxanthin
Magnesium citrate;200.0;400.0;mg;Once per day;Supports muscle and nerve function;Continuous;1-dosages;magnesium citrate
Menaquinone (K2);100.0;200.0;mcg;Once per day;Supports bone and cardiovascular health;Continuous;1-dosages;vitamin k2
Myricetin;100.0;400.0;mg;Once per day;Antioxidant, anti-inflammatory;Cyclic (2-3 months on/off);1-dosages;myricetin
